-271.1368485,-244.0231637,-216.9094788,-189.795794,-162.6821091,-135.5684243,-108.4547394,-81.34105456,-54.2273697,-27.11368485,0,27.11368485,54.2273697,81.34105456,108.4547394,135.5684243,162.6821091,189.795794,216.9094788,244.0231637,271.1368485
8008.390466,7207.55142,6038.086805,4968.842267,3996.10595,3116.347066,2493.077653,1869.80824,1332.035317,848.1140789,848.1140789,848.1140789,1332.035317,1869.80824,2493.077653,3116.347066,3996.10595,4968.842267,6038.086805,7207.55142,8008.390466
-20384.99391,-18346.49452,-16676.6207,-14906.5268,-13039.92468,-11080.34512,-8864.276099,-6648.207075,-4346.64156,-1991.224359,848.1140789,3687.452517,7010.712193,10387.82355,13850.43141,17313.03926,21032.13658,24844.21133,28752.79431,32761.59736,36401.77485
-46765.57427,-42788.16995,-38033.92885,-33279.68774,-28980.83371,-24521.55924,-19320.55581,-14262.72332,-9353.114855,-4432.13805,1246.538826,6925.215703,13361.59265,19809.33794,26108.8592,32265.20952,39163.2888,46221.78853,52824.90117,59428.01382,66807.96325
-71313.61659,-65206.87585,-58851.74217,-52256.58833,-45429.41501,-37857.84584,-30286.27667,-22714.7075,-14930.45381,-7245.208428,1272.806886,9790.8222,19141.60745,28393.38438,37857.84584,47322.3073,56786.76876,66995.62607,77436.50286,88117.3998,99046.6897
-86932.83119,-79778.4849,-74824.91884,-67621.94533,-58851.74217,-50477.12779,-40936.39594,-30702.29696,-20468.19797,-9808.623695,1548.730057,12906.08381,24961.21704,37441.82556,49922.43408,63096.40974,77436.50286,91381.0072,106892.7412,124653.8826,140214.2439
-110803.4512,-99723.10612,-88642.76099,-77562.41587,-70148.36141,-60376.7369,-50477.12779,-38377.8712,-25585.24746,-12442.04484,1754.647349,15951.33954,31201.5213,46802.28195,63096.40974,81590.185,100211.9449,121191.2748,138504.3141,155817.3533,173130.3926
-125074.6552,-112567.1897,-100059.7242,-85616.97444,-75044.79315,-66482.07075,-57050.89327,-45429.41501,-30702.29696,-15143.13834,1892.892292,18928.92292,37441.82556,56786.76876,79237.35176,103878.2355,129387.5744,152887.4544,172516.7659,194081.3616,215645.9573
-142694.9574,-128425.4617,-114155.9659,-99886.47018,-85616.97444,-71347.4787,-59626.1072,-51495.2744,-35819.34645,-17909.67323,1965.695842,21841.06491,43682.12982,67756.94,99376.84533,127406.212,152887.4544,178368.6968,203849.9391,229331.1815,254812.4239
-163079.9513,-146771.9562,-130463.9611,-114155.9659,-97847.97079,-81539.97566,-65231.98053,-51108.09189,-40381.70223,-20739.51555,1975.191957,24689.89946,50477.12779,85180.15314,116485.6795,145607.0994,174728.5193,203849.9391,232971.359,262092.7789,291214.1988
-183464.9452,-165118.4507,-146771.9562,-128425.4617,-110078.9671,-91732.47262,-73385.97809,-55039.48357,-44138.80663,-23331.95499,2222.090952,27776.13689,58077.37714,98284.79209,131046.3895,163807.9868,196569.5842,229331.1815,262092.7789,294854.3763,327615.9736
-203849.9391,-183464.9452,-163079.9513,-142694.9574,-122309.9635,-101924.9696,-81539.97566,-61154.98174,-42590.07657,-25924.39443,2468.989946,30862.37433,70983.46095,109205.3245,145607.0994,182008.8742,218410.6491,254812.4239,291214.1988,327615.9736,364017.7485
